Italy,Rome,41.896,12.4833
Jamaica,Kingston,17.9771,-76.7674
Japan,Tokyo,35.685,139.7514
Jordan,Amman,31.95,35.9333
Kazakhstan,Almaty,43.325,76.915
Kenya,Nairobi,-1.2833,36.8167
Kiribati,Tarawa,1.3382,173.0176
Korea North,Pyongyang,39.0194,125.7547
Korea South,Seoul,37.5663,126.9997
Kosovo,Pristina,42.6666,21.1724
Kuwait,Kuwait City,29.3697,47.9783
Kyrgyzstan,Bishkek,42.8731,74.5852
Laos,Vientiane,17.9667,102.6
Latvia,Riga,56.95,24.1
Lebanon,Beirut,33.872,35.5097
Lesotho,Maseru,-29.3167,27.4833
Liberia,Monrovia,6.3106,-10.8048
Libya,Tripoli,32.8925,13.18
Liechtenstein,Vaduz,47.1337,9.5167
Lithuania,Vilnius,54.6834,25.3166
Luxembourg,Luxembourg,49.6117,6.13
Macau,Macau,22.203,113.545
Macedonia,Skopje,42,21.4335
Madagascar,Antananarivo,-18.9166,47.5166
Malawi,Lilongwe,-13.9833,33.7833
Malaysia,George Town,5.4136,100.3294
Maldives,Male,4.1667,73.4999
Mali,Bamako,12.65,-8
Malta,Valletta,35.8997,14.5147
Marshall Islands,Majuro,7.103,171.38
Martinique,Fort-de-France,14.6104,-61.08
Mauritania,Nouakchott,18.0864,-15.9753
Mauritius,Port Louis,-20.1666,57.5
Mayotte,Mamoudzou,-12.7871,45.275
Mexico,Mexico City,19.4424,-99.131
Moldova,Chisinau,47.005,28.8577
Monaco,Monaco,43.7396,7.4069
Mongolia,Ulaanbaatar,47.9167,106.9166
Montenegro,Podgorica,42.466,19.2663
Morocco,Casablanca,33.6,-7.6164
Mozambique,Maputo,-25.9553,32.5892
Namibia,Windhoek,-22.57,17.0835
Nepal,Kathmandu,27.7167,85.3166
Netherlands,The Hague,52.08,4.27
New Caledonia,Noumea,-22.2625,166.4443
New Zealand,Auckland,-36.8481,174.763
Nicaragua,Managua,12.153,-86.2685
Niger,Niamey,13.5167,2.1167
Nigeria,Lagos,6.4433,3.3915
Northern Mariana Islands,Capitol Hill,15.2137,145.7546
Norway,Oslo,59.9167,10.75
Oman,Muscat,23.6133,58.5933
Pakistan,Karachi,24.87,66.99
Palau,Ngerulmud,7.5,134.6242
Panama,Panama City,8.968,-79.533
Papua New Guinea,Port Moresby,-9.4647,147.1925
Paraguay,Asuncion,-25.2964,-57.6415
Peru,Lima,-12.048,-77.0501
Philippines,Manila,14.6042,120.9822
Poland,Katowice,50.2604,19.02
Portugal,Lisbon,38.7227,-9.1449
Puerto Rico,San Juan,18.4037,-66.0636
Qatar,Doha,25.2866,51.533
Reunion,Saint-Denis,-20.8789,55.4481
Romania,Bucharest,44.4334,26.0999
Russia,Moscow,55.7522,37.6155
Rwanda,Kigali,-1.9536,30.0605
Saint Kitts And Nevis,Basseterre,17.302,-62.717
Saint Lucia,Castries,14.002,-61
Saint Vincent And The Grenadines,Kingstown,13.1483,-61.2121
Samoa,Apia,-13.8415,-171.739
San Marino,San Marino,43.9172,12.4667
Sao Tome And Principe,Sao Tome,0.3334,6.7333
Saudi Arabia,Riyadh,24.6408,46.7727
Senegal,Dakar,14.7158,-17.4731
Serbia,Belgrade,44.8186,20.468
Seychelles,Victoria,-4.6166,55.45
Sierra Leone,Freetown,8.47,-13.2342
Singapore,Singapore,1293,103.8558
Sint Maarten,Philipsburg,18.0255,-63.045
Slovakia,Bratislava,48.15,17.117
Solomon Islands,Honiara,-9438,159.9498
Somalia,Mogadishu,2.0667,45.3667
South Africa,Johannesburg,-26.17,28.03
South Georgia And South Sandwich Islands,Grytviken,-54.2806,-36.508
South Sudan,Juba,4.83,31.58
Spain,Madrid,40.4,-3.6834
Sri Lanka,Colombo,6.932,79.8578
Sudan,Khartoum,15.5881,32.5342
Suriname,Paramaribo,5.835,-55.167
Swaziland,Mbabane,-26.3167,31.1333
Sweden,Stockholm,59.3508,18.0973
Switzerland,Geneva,46.21,6.14
Syria,Aleppo,36.23,37.17
Taiwan,Taipei,25.0358,121.5683
Tajikistan,Dushanbe,38.56,68.7739
Tanzania,Dar es Salaam,-6.8,39.2683
Thailand,Bangkok,13.75,100.5166
Timor-Leste,Dili,-8.5594,125.5795
Togo,Lome,6.1319,1.2228
Tonga,Nuku`alofa,-21.1385,-175.221
Trinidad And Tobago,Port of Spain,10.652,-61.517
Tunisia,Tunis,36.8028,10.1797
Turkey,Istanbul,41.105,29.01
Turkmenistan,Ashgabat,37.95,58.3833
Turks And Caicos Islands,Grand Turk,21.4664,-71.136
Tuvalu,Funafuti,-8.5167,179.2166
Uganda,Kampala,0.3167,32.5833
Ukraine,Kyiv,50.4334,30.5166
United Arab Emirates,Dubai,25.23,55.28
United Kingdom,London,51.5,-0.1167
Uruguay,Montevideo,-34.858,-56.1711
Uzbekistan,Tashkent,41.3117,69.2949
Vanuatu,Port-Vila,-17.7334,168.3166
Venezuela,Caracas,10.501,-66.917
Vietnam,Ho Chi Minh City,10.78,106.695
Wallis And Futuna,Leava,-14.2933,-178.158
West Bank,Al Quds,31.7764,35.2269
Yemen,Sanaa,15.3547,44.2066
Zambia,Lusaka,-15.4166,28.2833
Zimbabwe,Harare,-17.8178,31.0447
